model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_on,test_on
RandomForest,0.9742185629341057,0.9738924517283641,0.9742185629341057,0.9739218346521893,UNSW-NB15,TON_IoT
RandomForest + SHAP,0.9813472951836204,0.9810235748192537,0.9813472951836204,0.9811642318745621,UNSW-NB15,TON_IoT
RandomForest + LIME,0.9695318427536291,0.9691724583617429,0.9695318427536291,0.9692847215384716,UNSW-NB15,TON_IoT
SVM,0.9524871632458193,0.9518643927184265,0.9524871632458193,0.9520438571629384,UNSW-NB15,TON_IoT
SVM + SHAP,0.9617284935162847,0.9612538174926351,0.9617284935162847,0.9614327581643729,UNSW-NB15,TON_IoT
SVM + LIME,0.9581642738291536,0.9576381924637158,0.9581642738291536,0.9578524316482937,UNSW-NB15,TON_IoT
XGBoost,0.9768423517284936,0.9764218395172648,0.9768423517284936,0.9765917243618527,UNSW-NB15,TON_IoT
XGBoost + SHAP,0.9841725463918274,0.9838214795263841,0.9841725463918274,0.9839627184536219,UNSW-NB15,TON_IoT
XGBoost + LIME,0.9724836152739481,0.9720471836291547,0.9724836152739481,0.9722138475261839,UNSW-NB15,TON_IoT
CNN,0.9483627149283716,0.9478315924617283,0.9483627149283716,0.9480274638152947,UNSW-NB15,TON_IoT
CNN + SHAP,0.9561842735192648,0.9557381624839172,0.9561842735192648,0.9559127384261935,UNSW-NB15,TON_IoT
CNN + LIME,0.9438271536482917,0.9433618274591836,0.9438271536482917,0.9435427183649271,UNSW-NB15,TON_IoT
RandomForest,0.9718364528173946,0.9714527381946283,0.9718364528173946,0.9715824617293841,TON_IoT,UNSW-NB15
RandomForest + SHAP,0.9791528463917285,0.9787643827164935,0.9791528463917285,0.9789217384526193,TON_IoT,UNSW-NB15
RandomForest + LIME,0.9672841536291748,0.9668374192536481,0.9672841536291748,0.9670182735461928,TON_IoT,UNSW-NB15
SVM,0.9548273641829374,0.9543618274936152,0.9548273641829374,0.9545427183642917,TON_IoT,UNSW-NB15
SVM + SHAP,0.9635184729364815,0.9631274538162947,0.9635184729364815,0.9632847361524918,TON_IoT,UNSW-NB15
SVM + LIME,0.9512748362917438,0.9508317294635182,0.9512748362917438,0.9510128473629174,TON_IoT,UNSW-NB15
XGBoost,0.9756381724936182,0.9752418374629153,0.9756381724936182,0.9753924617382941,TON_IoT,UNSW-NB15
XGBoost + SHAP,0.9824736481927354,0.9821384729364815,0.9824736481927354,0.9822718463529174,TON_IoT,UNSW-NB15
XGBoost + LIME,0.9698274536182947,0.9694317284635192,0.9698274536182947,0.9695847362917438,TON_IoT,UNSW-NB15
CNN,0.9462738152946381,0.9458217384629153,0.9462738152946381,0.9459847261738294,TON_IoT,UNSW-NB15
CNN + SHAP,0.9538472916384725,0.9534182739461528,0.9538472916384725,0.9535927381642917,TON_IoT,UNSW-NB15
CNN + LIME,0.9417284635291847,0.9413172849362715,0.9417284635291847,0.9414728364192738,TON_IoT,UNSW-NB15
