model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_on,test_on
RandomForest,0.19406945503996817,0.21741730579508148,0.19406945503996817,0.1823995353256304,UNSW-NB15,TON_IoT
RandomForest + SHAP,0.2415052856526869,0.32828953064001953,0.2415052856526869,0.19786140798095114,UNSW-NB15,TON_IoT
RandomForest + LIME,0.27805707841529925,0.2217975522492946,0.27805707841529925,0.23632711413411855,UNSW-NB15,TON_IoT
SVM,0.3790507147832432,0.1437370285807842,0.3790507147832432,0.2084349685544471,UNSW-NB15,TON_IoT
SVM + SHAP,0.3790649298958032,0.14373628715631137,0.3790649298958032,0.2084363380851079,UNSW-NB15,TON_IoT
SVM + LIME,0.3790649298958032,0.14373628715631137,0.3790649298958032,0.2084363380851079,UNSW-NB15,TON_IoT
XGBoost,0.27527091635353934,0.3347835826658991,0.27527091635353934,0.23799080712110285,UNSW-NB15,TON_IoT
XGBoost + SHAP,0.1789066683093019,0.2882982804044403,0.1789066683093019,0.1462165693901942,UNSW-NB15,TON_IoT
XGBoost + LIME,0.2724184170998327,0.2830178336079185,0.2724184170998327,0.271133060923579,UNSW-NB15,TON_IoT
CNN,0.3787000753400966,0.20576119066193216,0.3787000753400966,0.20984780134506095,UNSW-NB15,TON_IoT
CNN + SHAP,0.28544419857564574,0.2536434079492092,0.28544419857564574,0.204816652177074,UNSW-NB15,TON_IoT
CNN + LIME,0.3797899006363632,0.25070657219033027,0.3797899006363632,0.21070920891947095,UNSW-NB15,TON_IoT
RandomForest,0.20258971058612774,0.7224777126688016,0.20258971058612774,0.3115119106757723,TON_IoT,UNSW-NB15
RandomForest + SHAP,0.1330212385410878,0.6511233362156653,0.1330212385410878,0.2154719542662566,TON_IoT,UNSW-NB15
RandomForest + LIME,0.1305983848594502,0.6577327329396999,0.1305983848594502,0.2098408331433055,TON_IoT,UNSW-NB15
SVM,0.04975278606744848,0.0031314401150120607,0.04975278606744848,0.005887824388254626,TON_IoT,UNSW-NB15
SVM + SHAP,0.2936681519026401,0.7891057974847779,0.2936681519026401,0.41931175158618905,TON_IoT,UNSW-NB15
SVM + LIME,0.296355290921013,0.7899958565813152,0.296355290921013,0.42260093355464506,TON_IoT,UNSW-NB15
XGBoost,0.31182098311288126,0.7698700212150109,0.31182098311288126,0.44006638432555767,TON_IoT,UNSW-NB15
XGBoost + SHAP,0.2407867988760016,0.741396228217508,0.2407867988760016,0.35968031289112024,TON_IoT,UNSW-NB15
XGBoost + LIME,0.22526539247801075,0.7332315177231945,0.22526539247801075,0.3403788009837015,TON_IoT,UNSW-NB15
CNN,0.010912841553083495,0.09828108606897162,0.010912841553083497,0.003658365710085468,TON_IoT,UNSW-NB15
CNN + SHAP,0.09250272499610715,0.5469548536545066,0.09250272499610715,0.14592633186236628,TON_IoT,UNSW-NB15
CNN + LIME,0.13484409307986703,0.6322107282757589,0.13484409307986706,0.21195992022135568,TON_IoT,UNSW-NB15
