model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_on,test_on
RandomForest,0.9907928571428571,0.9907004603988803,0.9907928571428571,0.9907295118169341,UNSW-NB15,UNSW-NB15
RandomForest + SHAP,0.9897071428571429,0.9895986000431639,0.9897071428571429,0.9896354018872204,UNSW-NB15,UNSW-NB15
RandomForest + LIME,0.9885642857142857,0.9884389619574535,0.9885642857142857,0.9884840645372691,UNSW-NB15,UNSW-NB15
SVM,0.92535,0.9294745643656973,0.92535,0.8901944661357701,UNSW-NB15,UNSW-NB15
SVM + SHAP,0.92535,0.928790370839354,0.92535,0.890208076453681,UNSW-NB15,UNSW-NB15
SVM + LIME,0.92535,0.928790370839354,0.92535,0.890208076453681,UNSW-NB15,UNSW-NB15
XGBoost,0.9911928571428571,0.991107100223875,0.9911928571428571,0.9911334515885046,UNSW-NB15,UNSW-NB15
XGBoost + SHAP,0.9896785714285714,0.9895819173840904,0.9896785714285714,0.989617747346485,UNSW-NB15,UNSW-NB15
XGBoost + LIME,0.9897285714285714,0.9896249644531563,0.9897285714285714,0.9896613652652883,UNSW-NB15,UNSW-NB15
CNN,0.9835928571428572,0.9832013634189903,0.9835928571428572,0.9832364750008475,UNSW-NB15,UNSW-NB15
CNN + SHAP,0.9820285714285715,0.9815931026878867,0.9820285714285715,0.9813898939359261,UNSW-NB15,UNSW-NB15
CNN + LIME,0.9785428571428572,0.9783219261682625,0.9785428571428572,0.9772242761201135,UNSW-NB15,UNSW-NB15
RandomForest,0.9937927930062309,0.9937875031344336,0.9937927930062309,0.9937893602495036,TON_IoT,TON_IoT
RandomForest + SHAP,0.9927740529271009,0.992771495737527,0.9927740529271009,0.992772681543167,TON_IoT,TON_IoT
RandomForest + LIME,0.9928451278163425,0.9928408004190733,0.9928451278163425,0.9928426571490555,TON_IoT,TON_IoT
SVM,0.7630837025278969,0.5822967370636839,0.7630837025278969,0.6605434968615397,TON_IoT,TON_IoT
SVM + SHAP,0.9511715510909996,0.9506811035320246,0.9511715510909996,0.9504775935025619,TON_IoT,TON_IoT
SVM + LIME,0.8770878248714729,0.8726345442179974,0.8770878248714729,0.8719470659613262,TON_IoT,TON_IoT
XGBoost,0.9934374185600228,0.9934306983768562,0.9934374185600228,0.9934327652044828,TON_IoT,TON_IoT
XGBoost + SHAP,0.9927029780378592,0.9926930991948018,0.9927029780378592,0.9926948865605576,TON_IoT,TON_IoT
XGBoost + LIME,0.993010969224573,0.9930112116950577,0.993010969224573,0.9930110896932655,TON_IoT,TON_IoT
CNN,0.9139993840176266,0.9205297224647719,0.9139993840176266,0.90735291387359,TON_IoT,TON_IoT
CNN + SHAP,0.9386860622142197,0.942446506658447,0.9386860622142197,0.9355109602212879,TON_IoT,TON_IoT
CNN + LIME,0.8237342746807553,0.8560911021583938,0.8237342746807553,0.7808342821211112,TON_IoT,TON_IoT
RandomForest,0.20015826158650132,0.3139116597280758,0.20015826158650132,0.1441337528798774,UNSW-NB15,TON_IoT
RandomForest + SHAP,0.23302360182522044,0.41575417274539794,0.23302360182522044,0.16600078407386817,UNSW-NB15,TON_IoT
RandomForest + LIME,0.18958695621271496,0.300923315598386,0.18958695621271496,0.14709777076494054,UNSW-NB15,TON_IoT
SVM,0.23692801940836702,0.8192123851309383,0.23692801940836702,0.09077808406145237,UNSW-NB15,TON_IoT
SVM + SHAP,0.23691854266666035,0.4376687617377829,0.23691854266666035,0.0907918611369615,UNSW-NB15,TON_IoT
SVM + LIME,0.23690906592495367,0.31048798692289825,0.23690906592495367,0.0907722134963604,UNSW-NB15,TON_IoT
XGBoost,0.19417843756959483,0.2240089664483102,0.19417843756959483,0.10594686894018512,UNSW-NB15,TON_IoT
XGBoost + SHAP,0.20066052889695465,0.2555865991153619,0.20066052889695465,0.11313870186851067,UNSW-NB15,TON_IoT
XGBoost + LIME,0.1966423904133281,0.2351378963395993,0.1966423904133281,0.10840780139154217,UNSW-NB15,TON_IoT
CNN,0.24465630227015348,0.4475896981452808,0.24465630227015348,0.20370601798605556,UNSW-NB15,TON_IoT
CNN + SHAP,0.24733348180228673,0.46240448489214,0.24733348180228673,0.1921405356013349,UNSW-NB15,TON_IoT
CNN + LIME,0.24589775543372677,0.701901352322278,0.24589775543372677,0.11253709820113784,UNSW-NB15,TON_IoT
RandomForest,0.17220285714285713,0.6730540418228689,0.17220285714285713,0.2554128771902023,TON_IoT,UNSW-NB15
RandomForest + SHAP,0.1362357142857143,0.6215162085225459,0.1362357142857143,0.2034295734875967,TON_IoT,UNSW-NB15
